gene_id	gene_symbol	gene_biotype	description
ENSRNOG00000005724	LOC100910771	protein_coding	mitogen-activated protein kinase kinase kinase 7-like [Source:RGD Symbol;Acc:6496502]
ENSRNOG00000059461	B4galt1	protein_coding	"beta-1,4-galactosyltransferase 1 [Source:RGD Symbol;Acc:620900]"
ENSRNOG00000057688	AABR07049695.4	lincRNA	NA
ENSRNOG00000008759	Csf3r	protein_coding	colony stimulating factor 3 receptor [Source:RGD Symbol;Acc:1309114]
ENSRNOG00000016536	Pdik1l	protein_coding	PDLIM1 interacting kinase 1 like [Source:RGD Symbol;Acc:1307476]
ENSRNOG00000019749	Ube2j2	protein_coding	"ubiquitin-conjugating enzyme E2, J2 [Source:RGD Symbol;Acc:1359523]"
ENSRNOG00000019864	C1qtnf12	protein_coding	C1q and TNF related 12 [Source:RGD Symbol;Acc:1307059]
ENSRNOG00000049853	Rtl9	protein_coding	retrotransposon Gag like 9 [Source:RGD Symbol;Acc:6486824]
ENSRNOG00000004706	Vit	protein_coding	vitrin [Source:RGD Symbol;Acc:1564128]
ENSRNOG00000005298	Zfp513	protein_coding	zinc finger protein 513 [Source:RGD Symbol;Acc:1310456]
ENSRNOG00000004908	Smc6	protein_coding	structural maintenance of chromosomes 6 [Source:RGD Symbol;Acc:1311214]
ENSRNOG00000050197	Pdia6	protein_coding	"protein disulfide isomerase family A, member 6 [Source:RGD Symbol;Acc:628688]"
ENSRNOG00000005424	Odc1	protein_coding	ornithine decarboxylase 1 [Source:RGD Symbol;Acc:3227]
ENSRNOG00000008015	Fos	protein_coding	"Fos proto-oncogene, AP-1 transcription factor subunit [Source:RGD Symbol;Acc:2626]"
ENSRNOG00000027773	Ppp4r3a	protein_coding	"protein phosphatase 4, regulatory subunit 3A [Source:RGD Symbol;Acc:1309059]"
ENSRNOG00000005874	Tle2	protein_coding	"TLE family member 2, transcriptional corepressor [Source:RGD Symbol;Acc:1306665]"
ENSRNOG00000023020	Fdx2	protein_coding	ferredoxin 2 [Source:RGD Symbol;Acc:1561264]
ENSRNOG00000031126	Tecta	protein_coding	tectorin alpha [Source:RGD Symbol;Acc:1309824]
ENSRNOG00000018610	Pde6d	protein_coding	phosphodiesterase 6D [Source:RGD Symbol;Acc:1306204]
ENSRNOG00000002361	Prkg2	protein_coding	protein kinase cGMP-dependent 2 [Source:RGD Symbol;Acc:3401]
ENSRNOG00000008741	Camsap2	protein_coding	"calmodulin regulated spectrin-associated protein family, member 2 [Source:RGD Symbol;Acc:1310950]"
ENSRNOG00000003717	Cnih4	protein_coding	cornichon family AMPA receptor auxiliary protein 4 [Source:RGD Symbol;Acc:1559740]
ENSRNOG00000005418	Trap1	protein_coding	TNF receptor-associated protein 1 [Source:RGD Symbol;Acc:1359733]
ENSRNOG00000017586	LOC685273	processed_pseudogene	similar to U1 small nuclear ribonucleoprotein C (U1 snRNP protein C) (U1C protein) (U1-C) [Source:RGD Symbol;Acc:1596424]
ENSRNOG00000017907	Ube2i	protein_coding	ubiquitin-conjugating enzyme E2I [Source:RGD Symbol;Acc:3926]
ENSRNOG00000018701	Tpsg1	protein_coding	tryptase gamma 1 [Source:RGD Symbol;Acc:631355]
ENSRNOG00000019921	Rhbdl1	protein_coding	rhomboid like 1 [Source:RGD Symbol;Acc:620699]
ENSRNOG00000018881	Rnasek	protein_coding	ribonuclease K [Source:RGD Symbol;Acc:1305687]
ENSRNOG00000003117	Psmd12	protein_coding	"proteasome 26S subunit, non-ATPase 12 [Source:RGD Symbol;Acc:1359305]"
ENSRNOG00000008734	Zmym2	protein_coding	zinc finger MYM-type containing 2 [Source:RGD Symbol;Acc:1593255]
ENSRNOG00000060662	Pou4f1	protein_coding	POU class 4 homeobox 1 [Source:RGD Symbol;Acc:620074]
ENSRNOG00000052111	Sugp1	protein_coding	SURP and G patch domain containing 1 [Source:RGD Symbol;Acc:1310496]
ENSRNOG00000062112	AABR07026112.2	antisense	NA
ENSRNOG00000001837	Sst	protein_coding	somatostatin [Source:RGD Symbol;Acc:3761]
ENSRNOG00000059491	Fgd4	protein_coding	"FYVE, RhoGEF and PH domain containing 4 [Source:RGD Symbol;Acc:708357]"
ENSRNOG00000055240	AABR07032237.1	miRNA	NA
ENSRNOG00000024640	Oacyl	protein_coding	O-acyltransferase like [Source:RGD Symbol;Acc:1304731]
ENSRNOG00000017032	Atp5f1a	protein_coding	ATP synthase F1 subunit alpha [Source:RGD Symbol;Acc:619993]
ENSRNOG00000024043	Orc6	protein_coding	"origin recognition complex, subunit 6 [Source:RGD Symbol;Acc:1311437]"
ENSRNOG00000026880	Usp38	protein_coding	ubiquitin specific peptidase 38 [Source:RGD Symbol;Acc:1311974]
ENSRNOG00000011976	Nudt7	protein_coding	nudix hydrolase 7 [Source:RGD Symbol;Acc:1306719]
ENSRNOG00000028580	Pcnx2	protein_coding	pecanex 2 [Source:RGD Symbol;Acc:1305883]
ENSRNOG00000000487	Grm4	processed_transcript	glutamate metabotropic receptor 4 [Source:RGD Symbol;Acc:2745]
ENSRNOG00000050425	RGD1561777	protein_coding	similar to Na+ dependent glucose transporter 1 [Source:RGD Symbol;Acc:1561777]
ENSRNOG00000000999	Smurf1	protein_coding	SMAD specific E3 ubiquitin protein ligase 1 [Source:RGD Symbol;Acc:1594738]
ENSRNOG00000001258	Snx8	protein_coding	sorting nexin 8 [Source:RGD Symbol;Acc:1305791]
ENSRNOG00000030124	Ptpn11	protein_coding	"protein tyrosine phosphatase, non-receptor type 11 [Source:RGD Symbol;Acc:3447]"
ENSRNOG00000026060	Arsi	protein_coding	"arylsulfatase family, member I [Source:RGD Symbol;Acc:1310242]"
ENSRNOG00000049937	Pdxk	protein_coding	pyridoxal kinase [Source:RGD Symbol;Acc:621324]
ENSRNOG00000056371	Pik3ca	protein_coding	"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha [Source:RGD Symbol;Acc:620916]"
ENSRNOG00000016398	Clstn1	protein_coding	calsyntenin 1 [Source:RGD Symbol;Acc:1306458]
ENSRNOG00000003187	Armcx5	protein_coding	"armadillo repeat containing, X-linked 5 [Source:RGD Symbol;Acc:7586448]"
ENSRNOG00000048843	Tsfm	protein_coding	"Ts translation elongation factor, mitochondrial [Source:NCBI gene;Acc:679068]"
ENSRNOG00000061152	AABR07018038.2	protein_coding	NA
ENSRNOG00000018760	Mpp7	protein_coding	membrane palmitoylated protein 7 [Source:RGD Symbol;Acc:1305675]
ENSRNOG00000000855	Lst1	protein_coding	leukocyte specific transcript 1 [Source:RGD Symbol;Acc:620077]
ENSRNOG00000017456	Vstm2b	protein_coding	V-set and transmembrane domain containing 2B [Source:RGD Symbol;Acc:1306235]
ENSRNOG00000020350	Pacs1	protein_coding	phosphofurin acidic cluster sorting protein 1 [Source:RGD Symbol;Acc:620579]
ENSRNOG00000055641	Dnase1l1	protein_coding	deoxyribonuclease 1-like 1 [Source:RGD Symbol;Acc:1359588]
ENSRNOG00000002194	Coq2	protein_coding	"coenzyme Q2, polyprenyltransferase [Source:RGD Symbol;Acc:1306722]"
ENSRNOG00000020864	Kirrel2	protein_coding	kirre like nephrin family adhesion molecule 2 [Source:RGD Symbol;Acc:1308456]
ENSRNOG00000016227	Glrx3	protein_coding	glutaredoxin 3 [Source:RGD Symbol;Acc:69414]
ENSRNOG00000006146	Trim54	protein_coding	tripartite motif-containing 54 [Source:RGD Symbol;Acc:1306453]
ENSRNOG00000041468	Mir1188	miRNA	microRNA 1188 [Source:RGD Symbol;Acc:4888588]
ENSRNOG00000005710	Rbm7	protein_coding	RNA binding motif protein 7 [Source:RGD Symbol;Acc:1308017]
ENSRNOG00000046316	Tomm6	protein_coding	translocase of outer mitochondrial membrane 6 [Source:RGD Symbol;Acc:1583567]
ENSRNOG00000042729	Efhc1	protein_coding	EF-hand domain containing 1 [Source:RGD Symbol;Acc:1587365]
ENSRNOG00000023764	Kctd2	protein_coding	potassium channel tetramerization domain containing 2 [Source:RGD Symbol;Acc:1566063]
ENSRNOG00000027498	Engase	protein_coding	endo-beta-N-acetylglucosaminidase [Source:RGD Symbol;Acc:1310868]
ENSRNOG00000046698	Gps1	protein_coding	G protein pathway suppressor 1 [Source:RGD Symbol;Acc:621532]
ENSRNOG00000031681	AABR07026539.1	protein_coding	uncharacterized LOC102553495 [Source:NCBI gene;Acc:102553495]
ENSRNOG00000000564	Tbata	protein_coding	"thymus, brain and testes associated [Source:RGD Symbol;Acc:1561665]"
ENSRNOG00000022576	Nudt12	protein_coding	nudix hydrolase 12 [Source:RGD Symbol;Acc:1310902]
ENSRNOG00000031671	Rasgef1a	protein_coding	"RasGEF domain family, member 1A [Source:RGD Symbol;Acc:1305836]"
ENSRNOG00000038916	Dram1	protein_coding	DNA-damage regulated autophagy modulator 1 [Source:RGD Symbol;Acc:1598133]
ENSRNOG00000013838	Hcrtr1	protein_coding	hypocretin receptor 1 [Source:RGD Symbol;Acc:2787]
ENSRNOG00000059017	AC106292.2	protein_coding	NA
ENSRNOG00000049505	Nup43	protein_coding	nucleoporin 43 [Source:RGD Symbol;Acc:1596513]
ENSRNOG00000039743	Zdhhc11	protein_coding	"zinc finger, DHHC-type containing 11 [Source:RGD Symbol;Acc:1564281]"
ENSRNOG00000005175	Sgpp1	protein_coding	sphingosine-1-phosphate phosphatase 1 [Source:RGD Symbol;Acc:727829]
ENSRNOG00000008056	Ankrd9	protein_coding	ankyrin repeat domain 9 [Source:RGD Symbol;Acc:1307662]
ENSRNOG00000029049	Zdhhc14	protein_coding	"zinc finger, DHHC-type containing 14 [Source:RGD Symbol;Acc:1565877]"
ENSRNOG00000017731	Agpat4	protein_coding	1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:RGD Symbol;Acc:619916]
ENSRNOG00000021156	Vegfb	protein_coding	vascular endothelial growth factor B [Source:RGD Symbol;Acc:619799]
ENSRNOG00000012081	Txn1	protein_coding	thioredoxin 1 [Source:RGD Symbol;Acc:621157]
ENSRNOG00000000866	Rbmx	protein_coding	"RNA binding motif protein, X-linked [Source:RGD Symbol;Acc:1565256]"
ENSRNOG00000005279	Ndufaf7	protein_coding	NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:RGD Symbol;Acc:1311578]
ENSRNOG00000047194	Arl13b	protein_coding	ADP-ribosylation factor like GTPase 13B [Source:RGD Symbol;Acc:1584979]
ENSRNOG00000010934	Spa17	protein_coding	sperm autoantigenic protein 17 [Source:RGD Symbol;Acc:620154]
ENSRNOG00000018898	Mpi	protein_coding	mannose phosphate isomerase [Source:RGD Symbol;Acc:3107]
ENSRNOG00000013794	Rbp1	protein_coding	retinol binding protein 1 [Source:RGD Symbol;Acc:3543]
ENSRNOG00000010486	Mpp4	protein_coding	membrane palmitoylated protein 4 [Source:RGD Symbol;Acc:620016]
ENSRNOG00000000068	Ppp2r5a	protein_coding	"protein phosphatase 2, regulatory subunit B', alpha [Source:RGD Symbol;Acc:1308022]"
ENSRNOG00000006513	Borcs6	protein_coding	BLOC-1 related complex subunit 6 [Source:RGD Symbol;Acc:1563885]
ENSRNOG00000014698	Chrnb1	protein_coding	cholinergic receptor nicotinic beta 1 subunit [Source:RGD Symbol;Acc:2349]
ENSRNOG00000000340	Rtraf	protein_coding	"RNA transcription, translation and transport factor [Source:RGD Symbol;Acc:1304704]"
ENSRNOG00000023643	Mmp17	protein_coding	matrix metallopeptidase 17 [Source:RGD Symbol;Acc:1311541]
ENSRNOG00000021468	Grm8	protein_coding	glutamate metabotropic receptor 8 [Source:RGD Symbol;Acc:619858]
ENSRNOG00000005886	Zscan20	protein_coding	zinc finger and SCAN domain containing 20 [Source:RGD Symbol;Acc:1562996]
ENSRNOG00000054900	Pih1d3	protein_coding	PIH1 domain containing 3 [Source:RGD Symbol;Acc:1566312]
ENSRNOG00000040297	Ttc37	protein_coding	tetratricopeptide repeat domain 37 [Source:RGD Symbol;Acc:1306062]
ENSRNOG00000013736	C9	protein_coding	complement C9 [Source:RGD Symbol;Acc:620319]
ENSRNOG00000018642	Leng8	protein_coding	leukocyte receptor cluster member 8 [Source:RGD Symbol;Acc:1306180]
ENSRNOG00000027552	Tapbpl	protein_coding	TAP binding protein-like [Source:RGD Symbol;Acc:1307893]
ENSRNOG00000017017	Zbtb43	protein_coding	zinc finger and BTB domain containing 43 [Source:RGD Symbol;Acc:1310287]
ENSRNOG00000025383	Pdha1	protein_coding	pyruvate dehydrogenase E1 alpha 1 subunit [Source:RGD Symbol;Acc:3286]
ENSRNOG00000021589	Nexmif	protein_coding	neurite extension and migration factor [Source:RGD Symbol;Acc:1561931]
ENSRNOG00000016528	Ppp1r21	protein_coding	"protein phosphatase 1, regulatory subunit 21 [Source:RGD Symbol;Acc:1565310]"
ENSRNOG00000057813	AABR07063281.1	protein_coding	NA
ENSRNOG00000006368	Lrrn3	protein_coding	leucine rich repeat neuronal 3 [Source:RGD Symbol;Acc:71066]
ENSRNOG00000003813	Kcnk10	protein_coding	potassium two pore domain channel subfamily K member 10 [Source:RGD Symbol;Acc:619732]
ENSRNOG00000005929	Them6	protein_coding	thioesterase superfamily member 6 [Source:RGD Symbol;Acc:1359378]
ENSRNOG00000014634	Gtpbp1	protein_coding	GTP binding protein 1 [Source:RGD Symbol;Acc:1306758]
ENSRNOG00000009598	Ncaph2	protein_coding	"non-SMC condensin II complex, subunit H2 [Source:RGD Symbol;Acc:1565937]"
ENSRNOG00000004280	Tcn2	protein_coding	transcobalamin 2 [Source:RGD Symbol;Acc:620681]
ENSRNOG00000051889	Usp34	protein_coding	ubiquitin specific peptidase 34 [Source:RGD Symbol;Acc:1565181]
ENSRNOG00000003038	Sft2d2	protein_coding	SFT2 domain containing 2 [Source:RGD Symbol;Acc:1310623]
ENSRNOG00000059202	AABR07021988.1	protein_coding	MIA SH3 domain ER export factor 3 [Source:NCBI gene;Acc:683007]
ENSRNOG00000007436	Tedc2	protein_coding	tubulin epsilon and delta complex 2 [Source:RGD Symbol;Acc:2293499]
ENSRNOG00000014361	Edn1	protein_coding	endothelin 1 [Source:RGD Symbol;Acc:2532]
ENSRNOG00000021292	AABR07028027.1	pseudogene	NA
ENSRNOG00000018938	Mkx	protein_coding	mohawk homeobox [Source:RGD Symbol;Acc:1305652]
ENSRNOG00000002229	Adcy5	protein_coding	adenylate cyclase 5 [Source:RGD Symbol;Acc:71014]
ENSRNOG00000025883	Ip6k3	protein_coding	inositol hexakisphosphate kinase 3 [Source:RGD Symbol;Acc:1584104]
ENSRNOG00000035485	Mir93	miRNA	microRNA 93 [Source:RGD Symbol;Acc:2325459]
ENSRNOG00000001424	Cux1	protein_coding	cut-like homeobox 1 [Source:RGD Symbol;Acc:620618]
ENSRNOG00000001377	Ddx54	protein_coding	DEAD-box helicase 54 [Source:RGD Symbol;Acc:1562539]
ENSRNOG00000033790	Hnrnpu	protein_coding	heterogeneous nuclear ribonucleoprotein U [Source:RGD Symbol;Acc:620372]
ENSRNOG00000018858	Myct1	protein_coding	myc target 1 [Source:RGD Symbol;Acc:1311467]
ENSRNOG00000009097	Immt	protein_coding	inner membrane mitochondrial protein [Source:RGD Symbol;Acc:1310684]
ENSRNOG00000010275	Slc17a9	protein_coding	solute carrier family 17 member 9 [Source:RGD Symbol;Acc:1311940]
ENSRNOG00000042140	Eomes	protein_coding	eomesodermin [Source:NCBI gene;Acc:316052]
ENSRNOG00000056786	Piezo1	protein_coding	piezo-type mechanosensitive ion channel component 1 [Source:RGD Symbol;Acc:1308822]
ENSRNOG00000050215	AABR07044375.1	processed_pseudogene	NA
ENSRNOG00000054493	Rpph1	ribozyme	ribonuclease P RNA component H1 [Source:RGD Symbol;Acc:3580]
ENSRNOG00000001156	Msi1	protein_coding	musashi RNA-binding protein 1 [Source:RGD Symbol;Acc:628778]
ENSRNOG00000023150	Gpi	protein_coding	glucose-6-phosphate isomerase [Source:RGD Symbol;Acc:2727]
ENSRNOG00000019555	Arap1	protein_coding	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:RGD Symbol;Acc:1310385]"
ENSRNOG00000025110	Vwa3a	protein_coding	von Willebrand factor A domain containing 3A [Source:RGD Symbol;Acc:1311670]
ENSRNOG00000036648	LOC103691261	protein_coding	sperm flagellar protein 1-like [Source:RGD Symbol;Acc:9271178]
ENSRNOG00000046602	AABR07006030.1	protein_coding	NA
ENSRNOG00000037655	Gatb	protein_coding	glutamyl-tRNA amidotransferase subunit B [Source:RGD Symbol;Acc:1307864]
ENSRNOG00000020952	Cgn	protein_coding	cingulin [Source:RGD Symbol;Acc:1311992]
ENSRNOG00000021105	Gabpb2	protein_coding	GA binding protein transcription factor subunit beta 2 [Source:RGD Symbol;Acc:1565234]
ENSRNOG00000056349	RF00004	snRNA	NA
ENSRNOG00000015211	Sass6	protein_coding	SAS-6 centriolar assembly protein [Source:RGD Symbol;Acc:1306255]
ENSRNOG00000015250	Mettl14	protein_coding	methyltransferase like 14 [Source:RGD Symbol;Acc:1304822]
ENSRNOG00000061097	Lrit3	protein_coding	"leucine-rich repeat, Ig-like and transmembrane domains 3 [Source:RGD Symbol;Acc:1559637]"
ENSRNOG00000008837	Ass1	protein_coding	argininosuccinate synthase 1 [Source:RGD Symbol;Acc:2163]
ENSRNOG00000046984	St6galnac6	protein_coding	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6 [Source:RGD Symbol;Acc:1303196]"
ENSRNOG00000036864	Actl10	protein_coding	actin-like 10 [Source:RGD Symbol;Acc:6491130]
ENSRNOG00000008567	Mos	protein_coding	"MOS proto-oncogene, serine/threonine kinase [Source:RGD Symbol;Acc:3103]"
ENSRNOG00000027658	Gpr101	protein_coding	G protein-coupled receptor 101 [Source:RGD Symbol;Acc:1564196]
ENSRNOG00000005770	Sostdc1	protein_coding	sclerostin domain containing 1 [Source:RGD Symbol;Acc:628877]
ENSRNOG00000004723	Fcf1	protein_coding	FCF1 rRNA-processing protein [Source:RGD Symbol;Acc:1310899]
ENSRNOG00000059622	Pigb	protein_coding	"phosphatidylinositol glycan anchor biosynthesis, class B [Source:RGD Symbol;Acc:1307251]"
ENSRNOG00000037695	Sgpp2	protein_coding	sphingosine-1-phosphate phosphatase 2 [Source:RGD Symbol;Acc:1565739]
ENSRNOG00000003515	Ephx1	protein_coding	epoxide hydrolase 1 [Source:RGD Symbol;Acc:2557]
ENSRNOG00000002488	Galnt10	protein_coding	polypeptide N-acetylgalactosaminyltransferase 10 [Source:RGD Symbol;Acc:69409]
ENSRNOG00000008287	Nle1	protein_coding	notchless homolog 1 [Source:RGD Symbol;Acc:1308301]
ENSRNOG00000061424	Map3k3	protein_coding	mitogen activated protein kinase kinase kinase 3 [Source:RGD Symbol;Acc:1304575]
ENSRNOG00000032690	AABR07017046.1	protein_coding	ubiquitin-conjugating enzyme E2E 2 [Source:NCBI gene;Acc:361013]
ENSRNOG00000042195	Pabpn1	protein_coding	"poly(A) binding protein, nuclear 1 [Source:RGD Symbol;Acc:619928]"
ENSRNOG00000016538	Itga8	protein_coding	integrin subunit alpha 8 [Source:RGD Symbol;Acc:621634]
ENSRNOG00000008659	Arhgap21	protein_coding	Rho GTPase activating protein 21 [Source:RGD Symbol;Acc:1311028]
ENSRNOG00000020134	Upf1	protein_coding	"UPF1, RNA helicase and ATPase [Source:RGD Symbol;Acc:1589127]"
ENSRNOG00000002721	Ndufb4	protein_coding	NADH:ubiquinone oxidoreductase subunit B4 [Source:RGD Symbol;Acc:1307072]
ENSRNOG00000038200	Rttn	protein_coding	rotatin [Source:RGD Symbol;Acc:1306706]
ENSRNOG00000032942	Neu1	protein_coding	neuraminidase 1 [Source:RGD Symbol;Acc:3163]
ENSRNOG00000056647	Ascc1	protein_coding	activating signal cointegrator 1 complex subunit 1 [Source:RGD Symbol;Acc:1359255]
ENSRNOG00000025702	Kdm2b	protein_coding	lysine demethylase 2B [Source:RGD Symbol;Acc:1310217]
ENSRNOG00000001256	Atxn2	protein_coding	ataxin 2 [Source:RGD Symbol;Acc:1306637]
ENSRNOG00000001195	Trpv4	protein_coding	"transient receptor potential cation channel, subfamily V, member 4 [Source:RGD Symbol;Acc:69337]"
ENSRNOG00000040385	Mir760	miRNA	microRNA 760 [Source:RGD Symbol;Acc:2325489]
ENSRNOG00000006941	Thumpd3	protein_coding	THUMP domain containing 3 [Source:RGD Symbol;Acc:1560852]
ENSRNOG00000053239	Clmp	protein_coding	CXADR-like membrane protein [Source:RGD Symbol;Acc:708569]
ENSRNOG00000003704	Fam184b	protein_coding	"family with sequence similarity 184, member B [Source:RGD Symbol;Acc:1564950]"
ENSRNOG00000033942	Grin2a	protein_coding	glutamate ionotropic receptor NMDA type subunit 2A [Source:RGD Symbol;Acc:2737]
ENSRNOG00000055224	AABR07070161.3	lincRNA	NA
ENSRNOG00000003258	Cdc73	protein_coding	cell division cycle 73 [Source:RGD Symbol;Acc:1311766]
ENSRNOG00000036678	Aspscr1	protein_coding	"ASPSCR1, UBX domain containing tether for SLC2A4 [Source:RGD Symbol;Acc:1588666]"
ENSRNOG00000058289	AABR07027575.1	pseudogene	NA
ENSRNOG00000007822	Vgll4	protein_coding	vestigial-like family member 4 [Source:RGD Symbol;Acc:1311653]
ENSRNOG00000008986	Diaph3	protein_coding	diaphanous-related formin 3 [Source:RGD Symbol;Acc:1593287]
ENSRNOG00000038184	Camk2n2	protein_coding	calcium/calmodulin-dependent protein kinase II inhibitor 2 [Source:RGD Symbol;Acc:708411]
ENSRNOG00000027944	Pnma8a	protein_coding	PNMA family member 8A [Source:RGD Symbol;Acc:1310803]
ENSRNOG00000029336	Zfp180	protein_coding	zinc finger protein 180 [Source:RGD Symbol;Acc:631380]
ENSRNOG00000008278	Nfrkb	protein_coding	nuclear factor related to kappa B binding protein [Source:RGD Symbol;Acc:1310558]
ENSRNOG00000012162	Mpdu1	protein_coding	mannose-P-dolichol utilization defect 1 [Source:RGD Symbol;Acc:1307699]
ENSRNOG00000018785	Slc16a13	protein_coding	"solute carrier family 16, member 13 [Source:RGD Symbol;Acc:1359138]"
ENSRNOG00000019995	Dnajc18	protein_coding	DnaJ heat shock protein family (Hsp40) member C18 [Source:RGD Symbol;Acc:1310237]
ENSRNOG00000019746	Paf1	protein_coding	"PAF1 homolog, Paf1/RNA polymerase II complex component [Source:RGD Symbol;Acc:1306219]"
ENSRNOG00000021102	Scn1b	protein_coding	sodium voltage-gated channel beta subunit 1 [Source:RGD Symbol;Acc:3631]
ENSRNOG00000052607	RF00586	snoRNA	"predicted gene, 24336 [Source:MGI Symbol;Acc:MGI:5454113]"
ENSRNOG00000008309	Rpa3	protein_coding	replication protein A3 [Source:RGD Symbol;Acc:1306810]
ENSRNOG00000010048	Dctn1	protein_coding	dynactin subunit 1 [Source:RGD Symbol;Acc:62038]
ENSRNOG00000005951	AABR07052085.1	processed_pseudogene	NA
ENSRNOG00000018719	Cir1	protein_coding	"corepressor interacting with RBPJ, 1 [Source:RGD Symbol;Acc:1309199]"
ENSRNOG00000023455	Pomgnt1	protein_coding	"protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-) [Source:RGD Symbol;Acc:1359396]"
ENSRNOG00000038183	Heatr4	protein_coding	HEAT repeat containing 4 [Source:RGD Symbol;Acc:1566220]
ENSRNOG00000026252	E2f7	protein_coding	E2F transcription factor 7 [Source:RGD Symbol;Acc:1310258]
ENSRNOG00000004959	Actr2	protein_coding	ARP2 actin related protein 2 homolog [Source:RGD Symbol;Acc:1310826]
ENSRNOG00000007125	Vps54	protein_coding	VPS54 GARP complex subunit [Source:RGD Symbol;Acc:628718]
ENSRNOG00000008103	Mdh1	protein_coding	malate dehydrogenase 1 [Source:RGD Symbol;Acc:3072]
ENSRNOG00000015143	Siah1	protein_coding	siah E3 ubiquitin protein ligase 1 [Source:RGD Symbol;Acc:620449]
ENSRNOG00000019544	Zbtb2	protein_coding	zinc finger and BTB domain containing 2 [Source:RGD Symbol;Acc:1306621]
ENSRNOG00000020289	Akt1s1	protein_coding	AKT1 substrate 1 [Source:RGD Symbol;Acc:1312049]
ENSRNOG00000016147	Slc17a6	protein_coding	solute carrier family 17 member 6 [Source:RGD Symbol;Acc:620531]
ENSRNOG00000008142	Brpf1	protein_coding	"bromodomain and PHD finger containing, 1 [Source:RGD Symbol;Acc:1584828]"
ENSRNOG00000021266	Prokr2	protein_coding	prokineticin receptor 2 [Source:RGD Symbol;Acc:708445]
ENSRNOG00000014771	Wfdc8	protein_coding	WAP four-disulfide core domain 8 [Source:RGD Symbol;Acc:1597713]
ENSRNOG00000009930	Pigo	protein_coding	"phosphatidylinositol glycan anchor biosynthesis, class O [Source:RGD Symbol;Acc:1309498]"
ENSRNOG00000051299	AC099453.2	lincRNA	NA
ENSRNOG00000005932	Megf9	protein_coding	multiple EGF-like-domains 9 [Source:RGD Symbol;Acc:1308330]
ENSRNOG00000010550	Trappc3	protein_coding	trafficking protein particle complex 3 [Source:RGD Symbol;Acc:1309135]
ENSRNOG00000020828	Pde4a	protein_coding	phosphodiesterase 4A [Source:RGD Symbol;Acc:3279]
ENSRNOG00000023870	Sh2d7	protein_coding	SH2 domain containing 7 [Source:RGD Symbol;Acc:1309791]
ENSRNOG00000019476	Agap1	protein_coding	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:RGD Symbol;Acc:1309244]"
ENSRNOG00000025509	Apbb2	protein_coding	amyloid beta precursor protein binding family B member 2 [Source:RGD Symbol;Acc:1562438]
ENSRNOG00000013118	Atox1	protein_coding	antioxidant 1 copper chaperone [Source:RGD Symbol;Acc:621684]
ENSRNOG00000047211	Fzd3	protein_coding	frizzled class receptor 3 [Source:RGD Symbol;Acc:628814]
ENSRNOG00000016684	Wnk2	protein_coding	WNK lysine deficient protein kinase 2 [Source:RGD Symbol;Acc:1307284]
ENSRNOG00000061345	LOC690414	lincRNA	hypothetical protein LOC690414 [Source:RGD Symbol;Acc:1596092]
ENSRNOG00000062048	AC141220.4	protein_coding	NA
ENSRNOG00000001629	Wrb	protein_coding	tryptophan rich basic protein [Source:RGD Symbol;Acc:735104]
ENSRNOG00000020004	Rbm34	protein_coding	RNA binding motif protein 34 [Source:RGD Symbol;Acc:1310161]
ENSRNOG00000019212	Tpp1	protein_coding	tripeptidyl peptidase 1 [Source:RGD Symbol;Acc:621296]
ENSRNOG00000019771	Tbx6	protein_coding	T-box 6 [Source:RGD Symbol;Acc:1307716]
ENSRNOG00000010897	Nek6	protein_coding	NIMA-related kinase 6 [Source:RGD Symbol;Acc:727779]
ENSRNOG00000008431	Gabbr2	protein_coding	gamma-aminobutyric acid type B receptor subunit 2 [Source:RGD Symbol;Acc:619864]
ENSRNOG00000031216	AABR07055776.1	protein_coding	NA
ENSRNOG00000029995	Herpud2	protein_coding	HERPUD family member 2 [Source:RGD Symbol;Acc:1307343]
ENSRNOG00000002246	Slc30a9	protein_coding	solute carrier family 30 member 9 [Source:RGD Symbol;Acc:1593180]
ENSRNOG00000018091	Gdi2	protein_coding	GDP dissociation inhibitor 2 [Source:RGD Symbol;Acc:61802]
ENSRNOG00000009870	Tmem88	protein_coding	transmembrane protein 88 [Source:RGD Symbol;Acc:1561781]
ENSRNOG00000057718	AABR07044139.1	lincRNA	NA
ENSRNOG00000012552	Ints4	protein_coding	integrator complex subunit 4 [Source:RGD Symbol;Acc:1305036]
ENSRNOG00000049388	Prr32	protein_coding	proline rich 32 [Source:RGD Symbol;Acc:1583341]
ENSRNOG00000001873	P2rx6	protein_coding	purinergic receptor P2X 6 [Source:RGD Symbol;Acc:3243]
ENSRNOG00000017869	Irf8	protein_coding	interferon regulatory factor 8 [Source:RGD Symbol;Acc:1312024]
ENSRNOG00000021833	Myrfl	protein_coding	myelin regulatory factor-like [Source:RGD Symbol;Acc:1562127]
